,0,1
0,2021,2235923
1,2020,2154449
2,2019,2473322
3,2018,2835046
4,2017,2910118
5,2016,2873086
6,2015,2687409
7,2014,2680326
8,2013,2810724
9,2012,3084957
10,2011,3352601
11,2010,3485068
12,2009,3402467
