,0,1
219,"Imports of light sour crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-LSO.M
220,"Imports of light sweet crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-LSW.A
221,"Imports of light sweet crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-LSW.M
222,"Imports of medium crude oil from OPEC to refineries in Washington, Annual",PET_IMPORTS.OPN_Y-RS_WA-MED.A
223,"Imports of medium crude oil from OPEC to refineries in Washington, Monthly",PET_IMPORTS.OPN_Y-RS_WA-MED.M
224,"Imports of all grades of crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-ALL.M
225,"Imports of heavy sour crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-HSO.M
226,"Imports of light sour crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-LSO.M
227,"Imports of light sweet crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-LSW.M
228,"Imports of medium crude oil from OPEC to refineries in Unkown State, Monthly",PET_IMPORTS.OPN_Y-RS_XX-MED.M
